iteration,regular_best_second,regular_best_worst,hvp_best_worst
0,-0.1367,-0.2468,-0.2364
1,-0.3934,-0.3078,-0.3366
2,-0.2502,-0.3,-0.2914
3,-0.3749,-0.3394,-0.3998
4,-0.2405,-0.2553,-0.2596
5,-0.308,-0.2812,-0.293
6,-0.1944,-0.228,-0.237
7,-0.2313,-0.2462,-0.2767
8,-0.1865,-0.2178,-0.1932
9,-0.2855,-0.2231,-0.2634
10,-0.3005,-0.4047,-0.4066
11,-0.2481,-0.3028,-0.3472
12,-0.2622,-0.2876,-0.2718
13,-0.2899,-0.2732,-0.3511
14,-0.2305,-0.2092,-0.2029
15,-0.2034,-0.2019,-0.2761
16,-0.2485,-0.2903,-0.292
17,-0.2724,-0.3331,-0.2621
18,-0.3226,-0.2266,-0.2764
19,-0.2288,-0.2588,-0.2753
20,-0.2626,-0.2521,-0.2458
21,-0.2279,-0.1983,-0.2697
22,-0.2581,-0.3044,
23,-0.2935,-0.2467,
24,-0.2912,-0.2266,
25,-0.4022,-0.3134,
26,-0.2523,-0.2141,
27,-0.2546,-0.2578,
28,-0.1908,-0.2622,
29,-0.2126,-0.1982,
30,-0.1814,-0.2455,
31,-0.1848,-0.2118,
32,-0.4031,-0.2985,
33,-0.2234,-0.2433,
34,-0.2832,-0.3419,
35,-0.2111,-0.2359,
36,-0.2836,-0.3087,
37,-0.2718,-0.2662,
38,-0.2085,-0.226,
39,-0.2039,-0.1935,
40,-0.2419,-0.3128,
41,-0.1399,-0.2555,
42,-0.2546,-0.319,
43,-0.235,-0.2377,
44,-0.271,-0.2808,
45,-0.3274,-0.2997,
46,-0.2534,-0.2608,
47,-0.1184,-0.1524,
48,-0.242,-0.2553,
49,-0.2836,-0.2547,
